cluster,material_base,state,n_obs,n_months,n_products,fair_buy_Q1,fair_target,fair_sell_Q3,lag_3m_prediction,heterogeneity,emitter_sector,receiver_sector,top_products,quality
PS::PS COPINHO,PS,MG,7,6,2,0.8,1.0,1.0,1.0,0.117,COOPERATIVA,COMERCIO_ATACADO,"PS COPINHO, SUCATA DE PS COPINHO",D (insuficiente)
PS::PS COPINHO,PS,PR,119,30,2,1.0,1.2,1.25,1.175,0.125,COOPERATIVA,COMERCIO_ATACADO,"PS COPINHO, SUCATA DE PS COPINHO",A (excelente)
PS::PS COPINHO,PS,RS,11,8,1,0.4,0.6,0.95,0.3,0.446,COLETA_RECICLAGEM,COMERCIO_ATACADO,PS COPINHO,D (insuficiente)
PS::PS COPINHO,PS,SP,23,14,2,0.2,0.2,0.4,0.4,0.426,COOPERATIVA,COMERCIO_ATACADO,"PS COPINHO, SUCATA DE PS COPINHO",C (razoável)
PS::SUCATA DE PS PRETO,PS,SP,51,8,1,0.1,0.1,0.1,0.1,0.0,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PS PRETO,B (bom)
PVC::SUCATA DE PVC,PVC,BA,13,3,1,0.2,0.2,0.2,0.2,0.0,COLETA_RECICLAGEM,COLETA_RECICLAGEM,SUCATA DE PVC,D (insuficiente)
PVC::SUCATA DE PVC,PVC,CE,20,6,1,0.3,0.6,1.3,0.6,0.646,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE PVC,C (razoável)
PVC::SUCATA DE PVC,PVC,GO,7,6,1,0.55,0.7,0.8,0.7,0.297,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PVC,D (insuficiente)
PVC::SUCATA DE PVC,PVC,MA,15,13,1,0.5,0.5,0.5,0.5,0.0,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PVC,D (insuficiente)
PVC::SUCATA DE PVC,PVC,MG,51,24,1,0.3,0.5,0.55,0.5,0.496,COOPERATIVA,COLETA_RECICLAGEM,SUCATA DE PVC,B (bom)
PVC::SUCATA DE PVC,PVC,PE,19,12,1,0.6,0.6,0.6,0.6,0.0,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PVC,D (insuficiente)
PVC::SUCATA DE PVC,PVC,PR,190,36,1,0.45,0.575,0.9,1.4,0.49,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PVC,B (bom)
PVC::SUCATA DE PVC,PVC,RJ,7,7,1,0.125,0.2,1.1,1.7,1.198,COOPERATIVA,INDUSTRIA,SUCATA DE PVC,D (insuficiente)
PVC::SUCATA DE PVC,PVC,RS,36,19,1,0.3,0.4,0.75,0.7,0.532,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PVC,C (razoável)
PVC::SUCATA DE PVC,PVC,SC,18,12,1,0.425,0.6,1.0,0.05,0.563,COOPERATIVA,COMERCIO_ATACADO,SUCATA DE PVC,D (insuficiente)
PVC::SUCATA DE PVC,PVC,SP,72,28,1,0.3,0.325,0.5,0.5,0.423,COLETA_RECICLAGEM,COMERCIO_ATACADO,SUCATA DE PVC,B (bom)
